idade,renda,hist_credito,emprego,propriedade
47,35074.22,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Administrative Assistant I,est et tempus semper est quam pharetra magna ac consequat
75,89251.22,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Computer Systems Analyst II,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
67,79393.3,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Staff Accountant II,turpis sed ante vivamus tortor duis mattis egestas metus aenean
64,87566.93,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Accounting Assistant I,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
47,21765.9,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Product Management,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
71,30313.88,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
98,92485.31,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geological Engineer,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam
27,78421.47,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geologist IV,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
64,86791.83,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Developer,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
66,78606.66,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Editor,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
64,92526.7,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis
81,64568.43,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Research Nurse,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
